id,name,text,trans
4001014020010,あさひ,"来月から新発売の化粧品っす～！
ちょっと試していかないっすかー？","A new sale of next month's cosmetics!
Do you want to try a little?"
4001014020020,冬優子,"夏のお出かけにもぴったりな、
爽やかなお色のリップです！","Since summer is about to start,
you need a fresh lipstick color!"
4001014020030,冬優子,"今ならすぐお試しいただけますよ～
スキンケア用品の試供品もお配りしています♡","Try a little on right now!
We're also handing out some promotional skin care products♡"
4001014020040,冬優子,…………っていうか,"...Say,"
4001014020050,冬優子,これ、アイドルの仕事なわけ……？,Is this an idol's job...?
4001014020060,あさひ,冬優子ちゃーんっ,"Fuyuko,"
4001014020070,あさひ,冬優子ちゃん、試供品配り終わったっすか？,"Fuyuko, are you done handing out samples?"
4001014020080,冬優子,"ううん、まだまだ
あさひちゃんは？","No, not yet.
Are you?"
4001014020090,あさひ,なくなっちゃったんで、補充してもらいにいくっす！,"I'm totally out, I'm off to get refills!"
4001014020100,冬優子,は、早いんだね……！,S-So fast...!
4001014020110,あさひ,"さっきちっちゃい子がたくさん来て
全部あげちゃったんすよね","A bunch of little kids
just came by and grabbed up everythin'!"
4001014020120,冬優子,ええっ……！？,Eh...!?
4001014020130,あさひ,"お母さんとか、保育園の先生？　に
プレゼントするって言ってたっす！","And there was like, a mom or a nursery school teacher? She said she'd give them as presents!"
4001014020140,あさひ,だからサービスしたっすよ！,So I gave her free stuff!
4001014020150,冬優子,"そうだったんだ
それはきっと喜んでくれてると思うけど……","Oh I see.
I'm sure you made them happy..."
4001014020160,冬優子,"でも……
ちょっと、気を付けた方がいいかも……？","However... Uhm...
Do you think, maybe you should be a little careful...?"
4001014020170,あさひ,"？　なんでっすか？
欲しがってる人にあげるのが一番っすよね？","Hm? Why's that?
Isn't it most important to give people what they want?"
4001014020180,冬優子,それはそうなんだけど,"That's true,"
4001014020190,冬優子,"でも、同じ人にたくさんあげちゃったら、
その分渡せる人が少なくなっちゃうでしょう？","However, well, if you give a lot to the same person, not as many people will be able to get some, right?"
4001014020200,冬優子,"ふゆたちは、商品と、スポンサーの会社さんを
効果的に広めるためにお仕事をしてるわけだから","For Fuyu's group, with products of our sponsor company, our job is to spread them out as effectively as possible."
4001014020210,冬優子,そういうことも考えなくちゃいけないと思うの,I think we have to be concerned about things like that
4001014020220,あさひ,"なるほど……？
そういうもんっすか……","Oh really...?
Is that the way it is?"
4001014020230,あさひ,わかったっす、気を付けるっす,Got it! I'll take care of it!
4001014020240,冬優子,うん、ありがとう……！,"Mhm, thanks...!"
0000000000000,責任者,"──やあ
やってるね","──Wow.
You're doing it huh."
4001014020250,冬優子,"わっ……！？
お疲れ様ですっ","Huh...!?
Thank you very much──"
4001014020260,あさひ,……冬優子ちゃん、この人誰っすか？,"...Fuyuko, who's this?"
4001014020270,冬優子,"あさひちゃん！
現場の責任者の方だよ、ほらちゃんとご挨拶を──","Asahi!
They're the supervisor of this area, c'mon, greet him──"
4001014020280,あさひ,"責任者さんってことは、
この化粧品については知ってるってことっすよね！","Since you're the person in charge here,
You must know about these cosmetics, right!"
0000000000000,責任者,ああ、そうだよ,"Ah, I do."
4001014020290,あさひ,"じゃあ、宣伝する必要はないっすね！
わたし、向こうで声かけてくるっす！","Well then, there's no need to advertise to you!
I'll go chat with those people over there!"
4001014020300,冬優子,あさひちゃん！？,Asahi!?
0000000000000,責任者,っく、ははは……！,"Pf, hahaha...!"
4001014020310,冬優子,"すっ、すみません……！
きちんとご挨拶もしないで……！","S-Sorry...!
She didn't greet you properly!"
0000000000000,責任者,"いやいや、構わないさ
元気のいい子だなぁ","No, no, I don't mind.
She's quite a lively kid."
4001014020320,冬優子,"本当にすみませんっ……！
後でよく言っておきますからっ……","I'm really sorry...!
I'll have to talk to her properly later..."
0000000000000,責任者,"ああいう子も必要だよ
面白いねぇ","A kid like that is indispensabale.
She's interesting, isn't she?"
4001014020330,冬優子,～～っ……！,......!
0000000000000,責任者,"……君も、あの子に負けずに頑張ってね
よろしく頼むよ","...And you, do your best not to lose to that kid.
Thanks in advance."
4001014020340,冬優子,は、はいっ……！,Y-Yes...!
0000000000000,責任者,それじゃあ,"Well then, I'm off."
4001014020350,冬優子,……,......
4001014020360,冬優子,……はぁ……,...Hah...
4001014020370,冬優子,なんでふゆが……,Why did Fuyu...
4001014020380,冬優子,なんでふゆが、こんな思いしなきゃなんないのよ……,"Why did Fuyu, need to think like this..."
4001014020390,あさひ,ティッシュ配りの人の気持ちがわかったっす！,I understand what it's like to be those people handing out tissues!
4001014020400,あさひ,"このお仕事って、あと何回かやるんすよね？
次も楽しみっす～","We're going to be doing that job a few more times later right?
Next time will be fun!"
4001014020410,冬優子,"……ごめんね、あさひちゃん
ちょっといいかな","...Excuse me, Asahi.
Can I have a moment?"
4001014020420,あさひ,"？
どうしたっすか？","Hmm?
What's up?"
4001014020430,冬優子,"あのね、今日のあさひちゃんを見てて思ったんだけど……
──もう少しだけ、まわりを見てくれたら嬉しいなって","Well uhm, I was thinking while assessing Asahi today, but...
──it'd be great if you could watch your surroundings, just a little more."
4001014020440,あさひ,……どういうことっす？,...What do you mean?
4001014020450,冬優子,"今日、責任者の方に挨拶しなかったでしょう？
そういうのって、あんまりよくないことだと思うの","Today, you didn't greet the supervisor right?
Stuff like that, I think isn't really so good."
4001014020460,冬優子,あさひちゃんはアイドルなんだもん,You're an idol.
4001014020470,冬優子,"あさひちゃんを見て、お仕事をくれる人たちのこと──
もう少し、意識しなくちゃ","When looking at Asahi, those people are giving you jobs──
You should be a little more conscious of that."
4001014020480,あさひ,……,......
4001014020490,あさひ,"でも、商品と会社を知ってもらうのが大事だって
冬優子ちゃん、言ってたっす","...But, what's most important is to know the product and the company after all. Fuyuko, you said that."
4001014020500,あさひ,わたし、それはすごくわかったっすよ！,I really understood it!
0000000000000,あさひ,でも、責任者の人とおしゃべりするのは違う気がするっす,"But, chit-chatting with the supervisor feels like a different thing!"
4001014020510,冬優子,"それは──……
時と場合っていうものがあって──","That's...
There's a time and a place for it──"
4001014020520,あさひ,……,......
