id,name,text,trans
0000000000000,年配の男性,おかしくないだろうか,Isn't it weird
0000000000000,年配の男性,この歳でアイドルのCDなんて,to buy an idol CD at this age?
0000000000000,年配の男性,（CDに触ることすらためらわれる……）,(I hesitate to even touch the CD...)
0000000000000,年配の男性,（いや……）,(No...)
0000000000000,年配の男性,（逆に考えよう、この歳で何を恥じらうことがある）,(What is there to be ashamed of at my age?)
0000000000000,年配の男性,（俺は深い意味もなく手に取っただけだ）,(I'm just picking it up casually.)
0000000000000,年配の男性,（そしてさっと裏返し）,(Quickly flipping it over.)
0000000000000,年配の男性,（商品表示を確認しているだけ）,"(And checking out the product display.) "
0000000000000,店員,……っしゃいませー,...Welcome.
0000000000000,年配の男性,（……今の店員はこう思ったはずだ）,(...The clerk just now must have thought)
0000000000000,年配の男性,（『音楽関係の業者が市場調査に来たのかなあ？』）,"(""Is someone from a music company here to do market research?"")"
0000000000000,年配の男性,（俺はそれくらい渋い顔でCDをひっくり返している）,(I turn the CD over with a sour face like that.)
0000000000000,年配の男性,（もしくは──）,(Or──)
0000000000000,年配の男性,（『娘に買ってきてと頼まれたお父さんかなあ？』）,"(""Maybe it's a dad buying for his daughter?"")"
0000000000000,年配の男性,（……この路線でもオッケー！）,(...I'll settle with that!)
0000000000000,年配の男性,…………,............
0000000000000,年配の男性,"そう、娘くらいの歳なのだ
このアイドルは","Right, this idol is
about the age of my daughter."
0000000000000,年配の男性,千雪────────,Chiyuki────────
0000000000000,年配の男性,……………………………………,...................................
0000000000000,年配の男性,（そうだ、俺にとっては娘のようなものなのだ）,"(Yeah, she's like a daughter to me.)"
0000000000000,年配の男性,（娘を見守るような気持ちなのだ）,(I feel like I'm watching over my daughter.)
0000000000000,年配の男性,（だから何も問題ない！　買ってオッケー！）,(So ​​there is nothing wrong with buying it! It's okay!)
0000000000000,店員,……しゃーせー,...'elcome.
0000000000000,年配の男性,（…………本当にオッケーなのか……？）,(...Is it really okay...?)
4001047050010,千雪,（ええと────）,(Umm────)
4001047050020,千雪,（オフィスは24階……）,(The office is on the 24th floor...)
4001047050030,千雪,（……エレベーターで行けるの10階まで？）,(...but the elevator only goes to the 10th floor?)
4001047050040,千雪,あ……,Ah...
4001047050050,千雪,（このエレベーターは２階から10階までなんだ……）,(This elevator goes from the 2nd to the 10th floor...)
