id,name,text,trans
4001077080010,甘奈,"……今日の甘奈は……
すっっっごく！　怒ってます！",...Today... I'm suuuuuper mad!
4001077080020,甘奈,"何故か、と言うと……
今日のテーマは","Why, you may ask...? Because..."
4001077080030,甘奈,『お叱り配信！』だからです,"Today's stream is a ""scolding"" stream!"
4001077080040,甘奈,"はい、ということでコメントとリクエストでもらった、
『怒ってほしいこと』に甘奈が、注意をしていきます！","As requested by many of you in the comments, I'm
warning you that I'm gonna be really angry today!"
4001077080050,甘奈,"『甘奈ちゃんが怒ってるの、新鮮』『ギャップ』
『怖い～』","""Never seen her mad before"", ""Oh this is new"",
""she's kinda scary～"""
4001077080060,甘奈,"……甘奈だって、ちゃんとダメな時は叱るよ！
覚えておいてっ！","...I'm gonna scold people when they deserve it! You'd
better not forget!"
4001077080070,甘奈,"それじゃあひとつめは、コメントから拾います！
…………あ、これにしようかな","Alright, for the first one, I'll be looking at the
comments! ......Oh, let's do this one."
4001077080080,甘奈,"『食べ物の好き嫌いが多いので
そのことを叱ってほしいです』","""Please scold me over my picky eating habits."""
4001077080090,甘奈,……じゃあ、いきます！,"...Alright then, here we go!"
4001077080100,甘奈,"栄養バランスが偏っちゃって健康に悪いし
作ってくれた人に失礼だよ！","Only eating certain parts of your meal isn't a
balanced diet, and it's disrespectful to the person
who made it!"
4001077080110,甘奈,"そんなふうにお残しをしちゃう君は……
めっ！！！！","So, to people who don't eat everything on their plate,
I say... bad!!!!"
4001077080120,甘奈,"『もう好き嫌いしません』『ちゃんと食べます』
『作った人への感謝を忘れません』","""I won't be picky anymore"", ""I will eat my food"", ""I will
not forget the feelings of the person who made it"""
4001077080130,甘奈,えへへ、みんな偉い！,"Ehehe, you're all being so good!"
4001077080140,甘奈,"じゃあ、次は、リクエストから！
『三角定規』さんからいただきました","Okay, now from the requests! This one's from
""Measuring Triangles""-san."
4001077080150,甘奈,"『この前、学校の備品を壊してしまったのですが
怖くて先生に言い出せません』","""Recently, I broke some stuff at my school, but I was
scared so I didn't tell the teacher"""
4001077080160,甘奈,"『ですが、このままではいけないと思うので、
きつめに！　怒って勇気をください！』","""But, I can't keep feeling guilty like this... Please get
angry at me so that I have the courage to confess!"""
4001077080170,甘奈,"……これはね、練習してきたの……！
このままじゃだめだもんね……！　きつめにいきます！","...I practiced for this one...! You're right, you can't
keep going like this, so I'll go all out...!"
4001077080180,甘奈,"いけないことをしたのに、謝れない人って
甘奈、ズルいと思う","I think that people who don't apologize for the bad
things they've done aren't being fair to others."
4001077080190,甘奈,そういうことをしちゃう人は,I think...
4001077080200,甘奈,……嫌いかな,...I really don't like people like that.
4001077080210,甘奈,……どう、だったかな……？,...How was that...?
4001077080220,千雪,『桑山千雪の、おやすみ配信』,"""Chiyuki's bedtime stream"""
4001077080230,千雪,こんばんは、桑山千雪です,"Good evening, this is Chiyuki Kuwayama."
4001077080240,千雪,"今日は、見てくれてるみんなのことを……
寝かしつけちゃいます♪","Today, I will be... lulling you all to sleep♪"
4001077080250,千雪,"『最近寝不足だったので助かります』
『何この配信、アツい』","""been sleep deprived lately""
""exciting"""
4001077080260,千雪,"ふふっ、アツくなったら
寝れなくなっちゃうぞ、リラックスリラックス……","""Fufu, if you get too excited then you won't be able
to sleep. Just relax......"""
4001077080270,千雪,"最初は……みんなからのリクエストが
たくさんあった、子守唄を歌っていくね","First off... I have received many requests from
viewers, so I'll be singing a lullaby."
4001077080280,千雪,～♪,～♪
4001077080290,千雪,"じゃあ次は……
コメントから",Okay next one is... from the comments.
4001077080300,千雪,…………,............
4001077080310,千雪,……ふふっ、これなんかいいかも,"...Fufu, this one seems fun."
4001077080320,千雪,"『子どもの寝つきが悪いので、是非千雪さんの声で、
寝かしつけるように語り掛けてください』","""My child has trouble falling asleep, so please sing to
them directly"""
4001077080330,千雪,"……それでは……お子さんがしっかり寝られるように
気持ちを込めながら……","...Okay then... I'll make sure that your child can get a
good night's rest..."
4001077080340,千雪,……今日もいっぱい遊んだね……,"...You sure played a lot today, huh...?"
4001077080350,千雪,"……ふふっ、まだ足りない……？
でも、今日はもうおやすみ……","...Fufu, you still wanna play...? But, the day's already
over..."
