id,name,text,trans
0000000000000,off,『アルストロメリアのエッセイ、本日発売！』,"""Alstroemeria's Essays, now for sale!"""
0000000000000,off,"『メンバーが自ら筆を執ってます！
結成時の知られざる話も……！？』","""Written by each of the members! But also, a story
of how they came together......!?"""
0000000000000,プロデューサー,……,......
0000000000000,プロデューサー,"すみません
こちら、お願いします","Excuse me, just these please."
0000000000000,店員,かしこまりました！,Understood!
0000000000000,店員,同じものを３部、でよろしいですか？,"You'd like three of the same item, correct?"
0000000000000,プロデューサー,はい、大丈夫です,Yes please.
0000000000000,店員,この本、よく出るんですよ,This book is pretty popular.
0000000000000,プロデューサー,そうなんですね……！,It seems so...!
0000000000000,店員,"……ふふ
熱心なファンの方なんですね","...Fufu, you seem like quite the enthusiastic fan."
0000000000000,プロデューサー,ええ、そんなところです,"Yes, I am."
0000000000000,プロデューサー,さて、と,Alrighty then.
4001086080010,甘奈,……,......
0000000000000,メイクさん,"はい、オッケーよ甘奈ちゃん
今日も可愛いわぁ","Okay Amana-chan, you look adorable as always."
4001086080020,甘奈,ありがとうございますっ！,Thank you very much!
0000000000000,メイクさん,"私の超イケてるメイクと
甘奈ちゃんの可愛さが合わされば、最強ね～","If we put my good looks together with your cuteness,
we're unstoppable～"
0000000000000,メイクさん,"今日のショー、
絶対に甘奈ちゃんが一番になれるわよ～！",You're gonna be the best on today's show～!
4001086080030,甘奈,頑張りますっ,I'll do my best.
4001086080040,甘奈,"でも、もしそうなれたら
メイクさんのおかげです！","But if I am, it'll be all thanks to you."
0000000000000,メイクさん,もー、そういう謙虚なところも素敵～！,"Jeez, I love how humble you are～!"
4001086080050,甘奈,えへへ……,Ehehe...
4001086080060,甘奈,"あ、もし一番になれたら
あのこと、お願いしてもいいですか？","Oh, by the way if I do win, could I ask you to do that
thing for me?"
0000000000000,メイクさん,一番じゃなくても、全然聞いちゃうわよ！,I'll do it even if you aren't!
0000000000000,メイクさん,"衣装デザインを教えるなんて
すっごく楽しそうだもの！",Teaching costume design seems so fun!
4001086080070,甘奈,『甘奈の物語は、変化』,"""My story... is about change."""
4001086080080,甘奈,"『そして、それは同時に
甘奈の道にもなりました』","""And at the same time, that became the path I walk."""
4001086080090,甘奈,"『最初の頃は怖いと思っていた
変わる、ということ』","""At first, I thought change was scary."""
4001086080100,甘奈,『でも、向き合うことができたからこそ』,"""But, ever since I was able to face it head on..."""
4001086080110,甘奈,"『ファッションや今回のお仕事、
たくさんの好きなことに出会うことができました』","""I've been able to get work for all of the different
things that I love."""
4001086080120,甘奈,『だから、今の甘奈につながってると思います』,"""So, I think it's all linked to who I am now."""
4001086080130,甜花,"みんな……
聴いてくれて、ありがと……",Thank you everyone...... fore listening......
4001086080140,甜花,"次の曲の、前に……
甜花と一緒に……お話し、しよ……！","Now... before the next song...... Tenka wants to...
talk together......!"
4001086080150,甜花,"……はぁ……
……っ……","......Hah......
......Ngh......"
4001086080160,甜花,"先生……
甜花、もう無理……",Ms. Trainer...... Tenka... can't keep going......
0000000000000,トレーナー,"うん！　いいよいいよ！
座って休憩！",Sure! That's fine! Take a seat for a break!
4001086080170,甜花,や……やった……,Y......Yay......
0000000000000,トレーナー,"お水飲む？
スポーツドリンクがよかったら、そっちでも",You want some water? Or maybe a sports drink?
4001086080180,甜花,"スポーツドリンク……
ください……",A sports drink...... please......
4001086080190,甜花,"先生……
今日、なんか優しい……？",You seem...... kind of happy... today......?
0000000000000,トレーナー,"いやねー、あの甜花ちゃんが自分から
MCの練習したい、なんて言うから嬉しくて嬉しくて……","Oh it's nothing, I'm just super happy that you came
to me saying you wanted to practice your MC's."
0000000000000,トレーナー,"って、その言い方じゃ、まるで
普段私がすごく怖いみたいじゃないの！","The only reason I say it like that is because you
always make it seem like I'm so scary!"
4001086080200,甜花,"あ、あぅ……
怖いです……",A-Auu...... you are......
4001086080210,甜花,にへへ……,Nihehe......
4001086080220,甜花,"『甜花はアイドルになってから
いっぱい頑張ってます』","""Tenka has worked really hard ever since becoming an
idol."""
4001086080230,甜花,"『そしたら、ゲームとかデビ太郎とか
好きなことがお仕事につながるようになりました』","""Ever since then, she's been able to get work with
games, and Debitaro, and other stuff she likes."""
4001086080240,甜花,"『昔の甜花、こんなに頑張ってるって知ったら
すごくびっくりすると思います』","""Tenka thinks that if the old her saw how hard she's
worked, then she'd be very surprised."""
4001086080250,甜花,"『甜花には、大切な人たちからもらった
勇気、があります』","""Tenka gained some courage... from a very special
person."""
4001086080260,甜花,"『だから、これからも
大丈夫です』","""So... she'll be okay from now on."""
0000000000000,スタッフ,次の方、どうぞ,"Next person, please!"
0000000000000,ファン,こ、こんにちは……！,H-Hello...!
4001086080270,千雪,こんにちは,Hello.
4001086080280,千雪,"……？
前にも来てくれたこと、あったよね","......?
You came to the last event, didn't you?"
0000000000000,ファン,"……！
覚えててくださったんですか……！","......!
You remembered me...!?"
4001086080290,千雪,うん、もちろん,"Yes, of course I do."
0000000000000,ファン,"すっごく嬉しいです！
あ、エッセイ読みましたよ！　とっても素敵でした！","I'm so happy!
Oh, I read your essay! It was wonderful!"
0000000000000,ファン,千雪さんの笑顔に、あんな秘密があったなんて……！,"I didn't know there was such a secret around your
smile...!"
4001086080300,千雪,"ふふっ。赤裸々に書いたから、面と向かって言われると
ちょっと恥ずかしい気持ち♪","Fufu. I kind of put all of my thoughts on paper, so
being told that face to face is a bit embarrassing♪"
0000000000000,ファン,わ、す、すみません……！,"Oh, I-I'm so sorry...!"
4001086080310,千雪,"ううん、ありがとう
時々でいいから、読み返してくれると嬉しいな","It's okay, thank you. It's okay once in a while, so I
hope you can reread it!"
0000000000000,スタッフ,"桑山さん……すみません
そろそろ……","Kuwayama-san... I'm sorry, but we have to keep
moving..."
4001086080320,千雪,"ごめんなさい……もう時間みたい
楽しい時間はあっという間だね","I'm so sorry. It seems we're out of time. It was fun
speaking to you."
4001086080330,千雪,"『幸いなことに、私は今
自分が思い描いた道を歩けていると、感じている』","""Fortunately, I am moving down the path I imagined
for myself."""
4001086080340,千雪,"『そして、これからも
歩み続けて行きたい』","""But, I'd like to keep going down this path."""
4001086080350,千雪,『初心を忘れず』,"""Never forgetting my original inspiration."""
4001086080360,千雪,"『ただひたすらに
目の前の人の笑顔と向き合う』","""With a singular focus on the smiles of the people in
front of me."""
4001086080370,千雪,『丁寧に、丁寧に……』,"""Calmly... and carefully..."""
4001086080380,甘奈,『変化』,"""Change"""
4001086080390,甜花,『勇気』,"""Courage"""
4001086080400,千雪,『笑顔』,"""Smiles"""
4001086080410,甘奈,『私たちはこれからも』,"""From now on..."""
4001086080420,甘奈,『それぞれの道を』,"""We want to continue..."""
4001086080430,甘奈,『進み続けていきたいです』,"""Down each of our respective paths."""
4001086080440,甜花,"『そして
応援してくださるみなさんと』","""And we want to meet all of the people supporting
us..."""
4001086080450,甜花,"『その先の未来で
また会いたいです』","""In the future that lies ahead..."""
4001086080460,甜花,"『成長した私たちが創る
ライブの場で』","""At the concerts that we hold as we grow."""
4001086080470,千雪,"『その時、私たちが
どんな気持ちでみなさんと過ごすのか』","""When that happens, I wonder how we feel as we
spend that time together?"""
4001086080480,千雪,"『想像しただけで
楽しい気持ちになってきます』","""Just thinking about it makes me happy."""
4001086080490,千雪,"『今から
その日が待ち遠しいです』","""I long for when those days come."""
0000000000000,プロデューサー,俺も、待ち遠しいよ,Me too.
0000000000000,プロデューサー,"（３人がその日を最高の形で
迎えられるように）","(I hope that I can help them make those days the best
they can be.)"
0000000000000,プロデューサー,"（できること
探さなくちゃな）",(I have to search for things that I can do to help.)
0000000000000,プロデューサー,"（それから
俺自身もどうなっていきたいかっていう）",(And for my path as well.)
select,,（道を）,(Who I want to be.)
0000000000000,プロデューサー,"……
頑張ろう！",......Let's do this!
4001086080491,一同,『アルストロメリアエッセイ集』,"""Alstroemeria Essay Collection"""
4001086080492,一同,『未来への憧れの物語』,"""Stories of our Aspirations for the Future"""
info,game_event_communications/400108608.json,
Translator,kotonekotoP,
