id,name,text,trans
4001084040010,小糸,────そ、それで……,────A-And so......
4001084040020,小糸,"じゃああの時、どういう意味で『色づいてきた』って
言ってくれたんだろうって","I was just wondering, but what did she mean
by us were ""being colored"" back then."
4001084040030,円香,"さあ
そこまで深く考えてないかもよ","Who knows. She probably didn't think that deeply
when she said that."
4001084040040,円香,"気になるなら聞いてみたらいいんじゃない？
また一緒に仕事する機会があればだけど","If you're that bothered, why not just try asking?
That is, if we get a chance to work with her again."
4001084040050,小糸,う、うん……,Y-Yea......
4001084040060,雛菜,透先輩、今度はどっち行く～？,"Hey Toru-senpai, where to next～?"
4001084040070,透,んー,Hmー
4001084040080,透,曲がってる方,That bend over there.
4001084040090,雛菜,右か～,"To the right, huh～"
4001084040100,円香,"ストップ
会場から離れ過ぎる","Stop right there.
We're getting too far away from the venue."
4001084040110,透,あー……,Ahー......
4001084040120,雛菜,雛菜たち、今どの辺～？,"Where are we, actually～?"
4001084040130,円香,自分で調べれば,You can look it up yourself.
4001084040140,雛菜,会場の住所知らない～,I don't know the name of the venue～
4001084040150,円香,連絡に書いてあったでしょ,It was stated in our correspondence.
4001084040160,小糸,"えっと……わたしたちがいた会場から
ずっと斜めに向かって……","Erm...... From where we came from, we've been
moving away in a diagonal direction from the venue."
4001084040170,小糸,20分くらい、歩いてきたよ……！,And we've walked for about 20 minutes......!
4001084040180,雛菜,じゃあ斜めに帰ればいいんだ～,Then we can return by just walking back diagonally～
4001084040190,円香,"……もともとはコンビニ行くって話だったのに
どうしてこうなった","......We just wanted to go to the convenience store.
How did we end up like this?"
4001084040200,透,"ふふっ、いいじゃん
歩きたかったし","Fufu, it's all good.
Besides, I wanted to take a walk."
4001084040210,小糸,"わ、わたしも……半日乗り物で移動して
少し酔っちゃってたんだけど……","M-Me too...... I've been driven around for half a day
and was feeling a little motion sick."
4001084040220,小糸,"歩いてたら
ちょっとよくなってきたよ……！",I felt a little better after taking this walk......!
4001084040230,雛菜,雛菜、今日はもう何も乗りたくない～,"Hinana don't wanna sit in any vehicle for the rest
of the day."
4001084040240,透,……あ、プロデューサー,"......Ah, it's Producer."
4001084040250,透,────もしもーし,────Hellooー
0000000000000,プロデューサー,"『ごめん、お待たせ
打ち合わせが長引いた』","『Sorry for making you guys wait.
The meeting dragged on』"
0000000000000,プロデューサー,"『コンビニは見つかったか？
離れてるなら迎えに行くよ』","『Have you found the convenience store?
If you're not there yet, I can come fetch you』"
4001084040260,円香,……どうする？,......What now?
4001084040270,雛菜,"プロデューサー
コンビニ寄って～","Hey Producer,
drive here and bring us to the convenience store～"
4001084040280,円香,今日はもう何も乗りたくないんじゃなかった？,"Didn't you say you don't wanna sit in anything
for the rest of the day?"
4001084040290,雛菜,"だって今からコンビニまで行くの
大変でしょ～","But it's now become such a drag going to the
convenience store, isn't it～"
4001084040300,小糸,じゃ、じゃあ……,T-Then......
0000000000000,小糸,何か目印になるもの……,Is there anything we can use as a landmark......
4001084040310,雛菜,何もないね～,"There's nothing around here, huh～"
4001084040320,透,んー,Yeaー
4001084040330,円香,"……だそうなので
位置情報を送ります","......Don't seem like there's any. I'll just send our
GPS coordinates."
0000000000000,プロデューサー,『ああ、わかった』,"『Ah yes, I got it』"
0000000000000,オフ,off,off
0000000000000,off,PLEASE,PLEASE
0000000000000,off,PLEASE……,PLEASE......
4001084040340,off,どこでもない,"A place "
4001084040350,off,海,Like
4001084040360,off,の,In the middle of
4001084040370,off,"真ん中
みたいな場所","The sea,
At nowhere"
0000000000000,プロデューサー,"見ての通り、歴史的文化財だから
ステージがある建物には電気が通ってないんだ","As you guys can see, there's no electricity going
through the building that houses the stage as this
place is a cultural heritage site."
