id,name,text,trans
0000000000000,アナウンス,"イルミネーションスターズ
『ハイタッチ会』間もなく開始いたします","illumination STARS' High-Five Event is about to 
start."
0000000000000,アナウンス,整理券をお持ちの方は──……,For those with a numbered ticket──......
4001060040010,真乃,"はじめて来てくださったんですか
ありがとうございます……っ","Is this your first time coming to our events...?
Thank you very much..."
4001060040020,真乃,"あ、あの櫻木真乃です
どうぞよろしくお願いします","Ah, my name is Mano Sakuragi.
Please take care of me from now on..."
4001060040030,真乃,"あの、せーので、ハイタッチで……
はい……っ","Um, we're going to high five on my cue...
Yes..."
4001060040040,真乃,……せーのっ,"...One, two..."
0000000000000,スタッフ,"時間、ちょっと押し気味ですかね
想定よりも集まってくださっているので──","We're running a little short on time, I think.
There's more people than we expected, so..."
0000000000000,スタッフ,早めにはがしましょうか,Should we reduce the time for each participant?
0000000000000,プロデューサー,そうですね……,Hmm...
0000000000000,プロデューサー,"いえ、でも、後から並んでくれた方にも、
できるだけ同じように楽しんでいただきたいので──","No, I want the people who lines up in the back to have
as much fun as the people in front of them, so──"
0000000000000,プロデューサー,真乃、灯織、めぐるも、そう考えるはずだ,"I'm sure Mano, Hiori, and Meguru is also 
thinking the same thing."
0000000000000,プロデューサー,その気持ちを、サポートしてあげたい,I want to support those feelings they have.
4001060040050,灯織,"いきますよ……
せーのっ","Here we go...
One, two..."
4001060040060,灯織,"………っ
ありがとうございました……！","......
Thank you very much...!"
0000000000000,スタッフ,"よし、じゃあ列がスムーズに流れるようにしましょう
それで時間を巻く形で……！","Alright, let's make sure the line flows smoothly.
I'm sure we'll be able to make more time with that...!"
0000000000000,スタッフ,"手が足りないかもしれないので、
ちょっと応援に行ってきます","We might need more people, so I'll be calling
for more help. "
0000000000000,プロデューサー,ええ、よければ私も……！,"Yes, I'll go with you if that's alright...!"
0000000000000,プロデューサー,"押さないようにお願いします
一定間隔を保って、お進みください──……","Please make sure to not push people around.
Please keep the same distance as you 
proceed in line──..."
0000000000000,少女,きゃっ……,Kyah...!
0000000000000,プロデューサー,……！　大丈夫ですか,...! Are you okay?
0000000000000,少女,"は、はい！
大丈夫です……！",Y-Yes! I'm fine...!
0000000000000,プロデューサー,"スマホを見ながらだと危ないので、
よければ……","It's dangerous to walk while looking at your phone, 
so..."
0000000000000,少女,"で、ですよね
すみません……！","Y-Yeah, you're right!
I'm so sorry...!"
0000000000000,プロデューサー,（──……今の子、もしかして……）,"(──......That girl just now, isn't she...)"
0000000000000,スタッフ,次の方、どうぞ──……！,"Next, please──......!"
4001060040070,めぐる,あーっ！,Aah!!
0000000000000,少女,めぐるちゃん！,Meguru-chan!
4001060040080,めぐる,"わーっ！　久しぶり！
来てくれてありがとう！","Waah! It's really been a while!
Thanks for coming to see me!"
0000000000000,少女,ごめんね、最近来られなくて………！,Yeah! Sorry I haven't been able to come recently...!
4001060040090,めぐる,"ううん！　全然！
今顔を見られたことが嬉しいよー！","It's fine! Really!
I'm just happy to see your face right noow!"
4001060040100,めぐる,今日はお友達も一緒？,Is your friend coming too today?
0000000000000,少女,あっ……,Ah...
