id,name,text,trans
4001005080010,甜花,"目……つむってるのに……
光、いっぱい……",Even though... Tenka's eyes are closed... there are a lot of lights...
4001005080020,甜花,"目に……光……
くっつくみたい……",It's like... the lights... are sticking to our eyes.
4001005080030,千雪,"ふふ
甜花ちゃんは、何を描いてるの？","Fufu,
What are you writing, Tenka?"
4001005080040,甜花,"ん、と……
『な　ー　ち　ゃ　ん』","Umm...
""N A - C H A N"""
4001005080050,千雪,まぁ,My!
4001005080060,甜花,"と……
『ち　ゆ　き　さ　ん』","And...
""C H I Y U K I - S A N"""
4001005080070,千雪,"ええ、ほんと？
それは……","Eeh, really?
That's..."
4001005080080,千雪,──それは、嬉しい光……,"That's a really, happy light..."
4001005080090,甘奈,"えへへ、見て見て！　甘奈は
『Ａ　Ｌ　Ｓ……』","Eheheh, look look!
I'm writing ""A L S..."""
4001005080100,甜花,"わ……
なーちゃんのやつ……綺麗……","Wow...
The one Na-chan has... is so pretty..."
4001005080110,千雪,"ふふっ、私も──『Ｔ　Ｒ　О……』
次、『Ｅ』を忘れちゃダメなのよ？","Fufu, then me too, ""T R O...""
Next, don't forget the ""E"" alright?"
4001005080120,甜花,"う、うん……！
『Ｅ　Ｍ　Ｅ……』","Y-Yeah!
""E M E """
4001005080130,甘奈,『Ｒ』！,"""R""!"
4001005080140,千雪,『Ｉ』！,"""I""!"
4001005080150,甜花,『Ａ』……！,"""A""...!"
4001005080160,甘奈,"……わぁ……ほんと……！
目つむっても見えるよ、ALSTROEMERIA……！","...Wow... it's true...!
Even with your eyes closed you can see it, ALSTROEMERIA...!"
4001005080170,甘奈,"……ふー……！
ねずみ花火も、終わっちゃったね……！","...Phew!
The pinwheel fireworks have also ended...!"
4001005080180,千雪,"そうね
随分やってたから、他もほとんど残ってなくて──","Yes.
We've used up a lot so there's not many others left."
4001005080190,千雪,"──あら、台紙の下……
わぁ、これならまだいくつかあるわ","My, underneath the cardboard... Wow, with this we still have quite a number left."
4001005080200,甜花,あ……それ──,Ah... That's...
0000000000000,プロデューサー,"おーい、みんな！
……悪い、遅くなっちゃったな……！","Hey, everyone!
...Sorry I'm late...!"
4001005080210,千雪,プロデューサーさん！,Producer!
4001005080220,甘奈,……プロデューサーさん！　遅いよぉー！,...Producer! You're so late!
0000000000000,プロデューサー,"わ、悪い悪い……。撤収できたと思ったら
書類とか清算とか、色々あってさ……",M-My bad... I thought I could leave but there were documents or accounts and the such left...
0000000000000,プロデューサー,──お、それ、線香花火か？,"Ohh, are those sparklers?"
4001005080230,甜花,"う、うん……
これで……最後……","Y-Yeah...
These... are the last..."
0000000000000,プロデューサー,そうか……もう最後になっちゃったんだな,I see... So it's already the last bit huh.
4001005080240,甜花,……なーちゃん……,...Na-chan...
4001005080250,千雪,"……？
どうしたの……？","Huh?
What's the matter...?"
4001005080260,甘奈,あ……ううん……,Ah... it's nothing...
4001005080270,甘奈,"……えへへ、
甘奈……昔、線香花火が苦手だったんだ","...Ehehe,
I used to not be very good with sparklers!"
4001005080280,甘奈,"いっつも、最後にこれが残っちゃって……
やると、じりじりーって寂しい音がして","These are always left till the end...
And if we light them up, the burning sounds really lonely!"
4001005080290,千雪,甘奈ちゃん,Amana...
4001005080300,甘奈,"これが終わると、夏が……
もう行っちゃうのかなーって気がしたの","If they finish burning, then it feels like...
summer will be gone soon."
4001005080310,甜花,"て、甜花も……なーちゃんが寂しいと、寂しくなって……
でも……！","T-Tenka too...
If Na-chan feels lonely, then Tenka will too... But...!"
4001005080320,甘奈,"うん。甜花ちゃん、ありがとう
甜花ちゃんは──","Yeah, Tenka.
Thank you, Tenka is──"
4001005080330,甘奈,"甜花ちゃんは、甘奈がいつか好きになるようにって
思ってくれてたんでしょ？","Tenka is always hoping
for me to start liking it right?"
4001005080340,甜花,"う、うん……
そしたら花火、最後まで……楽しめる……","Y-Yeah...
Then we'll be able to enjoy the fireworks... till the end..."
4001005080350,千雪,"……ふふ、甜花ちゃん優しい
でもその気持ち、わかるなぁ","...Fufu, Tenka is so kind.
 But I understand that feeling."
4001005080360,甘奈,千雪さんも……？,Chiyuki too...?
4001005080370,千雪,"うん
線香花火は、ちょっと寂しい花火だよね","Yes.
Sparklers are lonely fireworks aren't they?"
4001005080380,甘奈,うん……,Yeah...
4001005080390,甘奈,……──えへへ、なんかごめんね！,"...Ehehe, I'm sorry!"
4001005080400,甘奈,甘奈、これやるー……,I'll light it...
4001005080410,甜花,て、甜花も……！,T-Tenka too...!
4001005080420,千雪,甘奈ちゃん……甜花ちゃん……,Amana... Tenka...
