id,name,text,trans
4001065010010,甜花,…………,............
0000000000000,教師,"よし
授業、始めるぞー","Alright, let's get this show on the road."
0000000000000,教師,まずは、テストの返却から,"First off, I'll be passing back your tests."
4001065010020,甜花,……！,......!
0000000000000,教師,"名前を呼ばれた人は
取りに来るように──",Please come up and get it when I call your name.
4001065010030,甜花,…………,............
4001065010040,甜花,"（……たぶん……
よくない、やつ……）",(......Tenka probably...... didn't do well......)
4001065010050,甜花,"（…………
いいやつ、ないけど……）","(............
Well... Tenka never does well......)"
0000000000000,教師,──次、大崎ー,"Next, Osaki!"
4001065010060,甜花,ひ、ひゃい……！,Y-Yesh......!
4001065010070,甜花,…………,............
4001065010080,甜花,……！,......!
0000000000000,教師,──じゃあ、今日はここまで,"──Alright, that's it for today."
0000000000000,教師,"テストの成績が悪かった者は
しっかりと復習しておくようにー","Everyone who got a bad grade on the test should
make sure they take some time to review."
0000000000000,生徒１,テスト、どうだった？,"So, how'd you do?"
0000000000000,生徒２,"全然ダメだった
ヤマがことごとく外れてて",I bombed it. All of my guesses were completely off.
0000000000000,生徒１,"私もー……
復習、一緒にやらない？","Same here...
Wanna review together?"
4001065010090,甜花,…………,............
4001065010100,甜花,"（……復習……
しなきゃ、だよね……）","(......Tenka should......
review... too......)"
4001065010110,甜花,あ……,Oh......
4001065010120,甜花,……にへへ,......Nihehe.
4001065010130,甜花,（お昼の、時間だ……！）,(It's... lunch time......!)
0000000000000,生徒３,"ねー、甘奈ー
こないだ言ってた新しいリップ、もう買った？","Hey, Amana, did you get that lipstick you were
talking about before?"
4001065010140,甘奈,"ううん
まだ～","Not yet, sorry～"
0000000000000,生徒４,"そっかー
買ってたら、感想とか聞きたかったんだけどなー","Oh okayー
I wanted to hear your thoughts if you had gotten itー"
0000000000000,生徒３,私もー,Me tooー
4001065010150,甘奈,"あ、それなら今週末、
みんなで見にいってみない？","Oh, in that case how about we go check it out
together this weekend?"
0000000000000,生徒３,"いいねー！
テストも終わったし、気晴らしだ！",Good call! We need some R&R after that test!
0000000000000,生徒４,"ついでにどこかで甘いもの食べたい！
新しい店開拓したいんだよねー","We can go grab some sweets too while we're at it! I
wanna find some new shopsー"
4001065010160,甘奈,"うんっ！
えへへ、楽しみだね～","Sure!
Ehehe, I'm looking forward to it～"
4001065010170,甘奈,……！,...!
4001065010180,甘奈,じゃあ、甘奈はここで～,"Alright, I gotta go～"
0000000000000,生徒３,うん、ばいばーい,"Okay, see ya!"
0000000000000,生徒４,また後でね～,See you later～
4001065010190,甘奈,（えへへ）,(Ehehe)
4001065010200,甘奈,──甜花ちゃーん！,──Tenka-chaaaaaan!
4001065010210,甜花,"あ……
なーちゃん……！","Oh......
Naa-chan......!"
4001065010220,甘奈,"お待たせ～！
お弁当、どこで食べる？","Sorry to keep you waiting～!
Where'd you wanna eat lunch?"
4001065010230,甜花,"…………
ここで、いい……","............
Right here... is fine......"
4001065010240,甘奈,"えへへ
了解だよ～","Ehehe, roger that～"
4001065010250,甜花,"（えと……
お弁当……）",(Um...... Lunch box......)
4001065010260,甘奈,"？
甜花ちゃん、何か落ちたよ","?
You dropped something, Tenka-chan."
4001065010270,甜花,"……！
そ、それ──","......!
Th-That's──"
4001065010280,甘奈,……,......
4001065010290,甜花,"え、えと……
さっき……返された、テスト……","U-Um......
They gave us... our tests back earlier......"
4001065010300,甘奈,帰ったらお勉強だね～,Looks like you gotta study when we get home～
4001065010310,甜花,あぅ……,Auu......
4001065010320,甘奈,甘奈も一緒にやるから、ね？,"I'll study with you, okay?"
4001065010330,甜花,……,......
4001065010340,甘奈,……,......
4001065010341,甘奈,"そうだ！
帰りにプリン買おうよ！","Oh right!
Let's get some pudding on the way home!"
4001065010350,甜花,"……！
……プリン……","......!
......Pudding......"
4001065010360,甘奈,"美味しいお店、見つけたの
甜花ちゃんにも食べてほしいな～","I found this super tasty shop. I want you to try some
too～"
4001065010370,甜花,そ、そうなんだ……！,"O-Oh, okay......!"
4001065010380,甘奈,"お勉強終わったら
ご褒美に、ね？","You can have it as a treat after you study, okay?"
4001065010390,甜花,……うん……！,......Sure......!
4001065010400,甘奈,えへへ、決まりだねっ,"Ehehe, we got it all planned out."
4001065010401,甘奈＆甜花,……えへへ,......Ehehe.
4001065010410,甘奈,じゃ、食べよっか,"Now then, wanna eat?"
4001065010420,甜花,……うん,......Sure.
4001065010421,甘奈＆甜花,いただきます,Thanks for the food.
4001065010422,甘奈＆甜花,……,......
4001065010430,甘奈,美味しいねっ,It's tasty.
4001065010440,甜花,うん……！,Yeah......!
4001065010450,甜花,（なーちゃんは……）,(Naa-chan's......)
4001065010460,甜花,"（いつも、甜花のこと……
気にしてくれて……）",(Always... worrying about Tenka......)
4001065010470,甘奈,"もうちょっとで今日のノルマクリアだよ！
頑張ろ～！",You're almost done for today! Keep going～!
4001065010480,甜花,"（勉強も……
教えて、くれる……）",(She...... also helps with... studying......)
4001065010490,甘奈,"えへへ、
頑張った後のプリン、格別だね～","Ehehe, here's your special pudding for after you
studied～"
4001065010500,甜花,"（……いつも
一緒にいて……）",(......We're... always together......)
4001065010510,甘奈,"甜花ちゃーん！
この敵強いよ～！　助けて～！",Tenka-chaaaan! This enemy's strong! Help～!
4001065010520,甜花,"（たまに、一緒にゲームも
やってくれる……）",(We also... play games together... occasionally......)
4001065010530,甘奈,（甜花ちゃんと）,"(Eating lunch like this,)"
4001065010540,甘奈,（こうやって一緒にお弁当を食べて）,(Together with Tenka-chan...)
4001065010550,甜花,"あと……
ちょっとで……終わる……！",Just... a little more...... and then you're done......!
4001065010560,甘奈,（お勉強をして）,(...studying together...)
4001065010570,甜花,"にへへ……
美味しい……",Nihehe...... This is good......
4001065010580,甘奈,（プリンを食べて）,(...eating pudding together...)
4001065010590,甜花,"なーちゃん……
そいつは……任せて……！",Naa-chan...... Leave that guy... to Tenka......!
4001065010600,甘奈,（一緒に遊ぶ）,(...and playing together.)
4001065010601,甘奈＆甜花,アイドルになる前,Before we became idols...
4001065010610,甜花,"甜花の……
一番大きな『好き』は、なーちゃんで……","Tenka's biggest ""love""...... was Naa-chan......"
4001065010620,甘奈,甘奈の一番大きな『好き』は甜花ちゃんだった,"And my biggest ""love"" was Tenka-chan."
info,game_event_communications/400106501.json,
Translator,kotonekotoP,
