id,name,text,trans
0000000000000,テロップ,"ハッピーを摘み、
ハッピーベルを響かせよ！",Harvest the happiness and ring the happy bell!
4001012080010,甘奈,え～っ！　意味わかんないよー！,Ehh～! I don't understand what that means!
4001012080020,甘奈,幸せって摘めるものなのー！？,Happiness is something you can harvest!?
4001012080030,甜花,この公園に……あるのかな……,I wonder... if it's somewhere in this park...
4001012080040,千雪,"ふふ、幸せがあったら素敵……！
でも──","Fufu, it'd be nice if we could find happiness...!
But──"
4001012080050,千雪,何かヒントはないんですか？,Do you have any hints for us?
0000000000000,テロップ,"サイコロで名前が出た人には、
これから聞き込み調査に出かけてもらいます！","The person whose name comes up on the dice has
to go out and do an investigation by asking around!"
4001012080060,甜花,き、聞き込み……！,A-Asking around...!
4001012080070,甘奈,"それがヒント！？
聞き込みって、普通のお客さんにだよね……",That's the hint!? We have to ask regular people huh...
4001012080080,千雪,"ここ、広いから……
結構たくさんの人に聞かなきゃいけないかも","Because it's vast here... we might have to ask
quite a lot of people."
4001012080090,甜花,たくさんの……知らない人…………──,A lot of... strangers...──
4001012080100,甘奈,"──大丈夫、甜花ちゃん
甘奈が当ててみせるから！","──Don't worry, Tenka-chan. You can count on me!"
4001012080110,甜花,"あっ、ううん……！
なーちゃん……あの──","Ah, it's fine...! Naa-chan... um──"
4001012080120,甘奈,"もし甜花ちゃんが当たっても、
その時は交渉！","If Tenka-chan is chosen, I'll negotiate with them!"
4001012080130,甘奈,残りの時間は、めーっちゃ楽しくするんだから☆,We should have lots of fun for the remaining time ☆
4001012080140,千雪,甘奈ちゃん……,Amana-chan...
4001012080150,千雪,うん。めーっちゃ楽しく、ね,"Yeah. Let's have lots of fun, alright?"
4001012080160,甜花,…………！,......!
4001012080170,甘奈,"よ～しっ。じゃあ、サイコロ振るねっ！
──ハッピーリベンジ☆","Alright. Then, let's roll the dice!
──Happy Revenge ☆"
4001012080180,甘奈,……あっ！　甘奈だ,...Ah! It's me.
4001012080190,甜花,な……なーちゃん……！,N-Naa-chan...!
4001012080200,甘奈,"えへへっ、よーし……
あっちの方で聞いてみよっかな","Ehehe, alright... I wonder if I should ask the person
over there."
4001012080210,甘奈,甘奈、出動しまーす！,"Amana, moving out!"
4001012080220,甜花,なーちゃん…………！,Naa-chan...!
4001012080230,甘奈,"……！
甜花ちゃん……？","......!
Tenka-chan...?"
4001012080240,甜花,"あの……待って、なーちゃん……
甜花が、行く……！","Um... wait a minute, Naa-chan...
Tenka will go instead...!"
4001012080250,甘奈,──えっ？,──Eh?
4001012080260,甜花,"…………
あの………足…………","......
Um... leg..."
4001012080270,甜花,"なーちゃん……足……
痛めてる……",Naa-chan... doesn't your leg... hurt...
4001012080280,甘奈,…………！,......!
4001012080290,千雪,えっ……甘奈ちゃん……？,Eh... Amana-chan...?
4001012080300,甜花,"……バス、降りる時……
そうかもって…………",...It might be... when we got off the bus...
4001012080310,甘奈,そ、そんなこと……──,That's not...──
4001012080320,甜花,"たぶん……
痛いの……我慢、してる……",You were probably... putting up... with the pain...
4001012080330,甘奈,…………甜花ちゃん,...Tenka-chan.
4001012080340,千雪,…………,......
4001012080350,甜花,千雪さん……なーちゃん……,"Chiyuki-san, Naa-chan..."
4001012080360,甜花,"にへへ……
甜花……もう一個、『トライ』あった……","Nihehe... Tenka... has another ""Try"" she wants to
suggest."
4001012080370,甜花,なーちゃん、あんまり歩かないようにする……,"Naa-chan, don't walk around too much..."
4001012080380,甜花,"代わるの……ちょっと、ズルだけど……
そしたら……","Substituting for you... it might be a bit unfair,
but... then..."
