id,name,text,trans
4001004020010,甜花,え……ゲームセンター……！？,Wha...... an arcade......?
4001004020020,千雪,"……わぁ、ちょっと意外だなぁ
甘奈ちゃんもゲームセンターに行くのね","...Wow, I didn't expect that.
So you go to arcades too, Amana-chan."
4001004020030,甘奈,"え～？　ヘンかなぁ
甘奈、色んなとこに行くよー？","Huh? Is that weird?
I go to all sorts of places, you know?"
4001004020040,甜花,……,......
4001004020050,千雪,"そうよね、ごめんなさい……
変ってことじゃないの！","You're right, I'm sorry...
I didn't mean to say it's weird!"
4001004020060,甘奈,ううん！　甘奈気にしてないよ！,"Don't worry, I don't mind!"
0000000000000,プロデューサー,"お、みんな……
取材の件か？　もう取り組んでくれてるんだな","Oh, you're all here... Is this for gathering information?
You're really getting into it"
4001004020070,千雪,"あ、プロデューサーさん
お疲れ様です","Oh, Producer-san.
Good afternoon."
4001004020080,甘奈,お疲れ様で～す！,Good afternoon～!
4001004020090,甜花,お、お疲れ様です……,G-Good afternoon......
4001004020100,千雪,"今、甘奈ちゃんがゲームセンターを提案してくれてて
──ねぇ、どんなところなの？","Amana-chan just suggested visiting an arcade.
Hey, what kind of place is it?"
4001004020110,甘奈,"えっとね～……
ちょっとレトロなゲームセンター、って感じかな～","Let's see～
It's an arcade with kind of, a retro feel, you know～"
4001004020120,千雪,"へぇ～そうなの！
ふふ、ますます意外……！","Ooh, I see!
That's quite unexpected from you...!"
4001004020130,甘奈,甘奈、学校の友達とかと結構行ったりするんだって！,"I told you, I go there with my friends from school
sometimes!"
4001004020140,甘奈,プリとか撮るついでっていうか……,"Like when we wanna take cute pics at the photo
booth and stuff..."
4001004020150,甜花,"な、なーちゃん……
そこって、事務所に来る……途中の……？","N-Naa-chan......
Is that where you go... on your way to the office......?"
4001004020160,甘奈,そうそう！,"Yeah, that's the one!"
4001004020170,甘奈,"本格的なゲームがたくさんありそうだなーって
感じのとこ！","It's the type of place that seems like it has a ton of
real games!"
4001004020180,甜花,"！　あそこなんだね……
にへへ……","! That place has a ton of games......
Nihehe......"
0000000000000,プロデューサー,"うーん、確かに面白い記事になるかもな
甜花は、何かあるか？","Hmm, that could lead to an interesting block.
What did you pick, Tenka?"
4001004020190,甜花,て、甜花は……,T-Tenka......
4001004020200,甜花,……ブックカフェが良い、かな……,......Tenka picked... a book cafe......
4001004020210,甘奈,あー！　新しくできてたとこだよね！,"Ohh! That new one nearby, right!?"
4001004020220,千雪,"わぁ……そうなのね
それも素敵……","Aww... I see.
That one is also really nice...."
4001004020230,千雪,"でも……ふふっ、ごめんなさい
甜花ちゃんも、ちょっと意外かも！","But... Hehe, sorry. This isn't what I expected from you
either, Tenka-chan!"
0000000000000,プロデューサー,"色んな本とか雑貨屋が併設されてるカフェだよな
そっか、そんなのも良いなぁ","A place where both books and crafts are sold. That'd
be pretty nice to write about too."
4001004020240,甜花,"う、うん……色んな本があって……
お勉強、できるし……","Y-Yeah...... There's a lot of books...... and... we can
study there too......"
4001004020250,甜花,それに……おしゃれ,And...... it's so fancy.
4001004020260,甘奈,"うん！　甘奈もそう思う！
しかも、この辺だと１番品揃えが良いんだよね～！","Yeah, I think so too! And it has the best selection of
goods around here too~!"
4001004020270,甘奈,"あ～……
最近、新しく出たのとか買えてなかったなぁ……","Aww~...
I haven't been buying any of the new releases lately..."
4001004020280,甜花,なーちゃん……にへへ……,Naa-chan...... Nihehe......
4001004020290,千雪,……,...
4001004020300,千雪,"……そっか
ふたりとも本当に、仲が良いんだ……ふふ","...I see.
You two really do know each other well... Fufu."
4001004020310,甘奈,"……でもでも、ブックカフェも良いけど
甘奈はゲームセンターを推したいな☆","...You know, a book cafe really would be nice...
But I really wanna push this arcade idea☆"
4001004020320,甜花,"ぶ、ブックカフェ……新しくできたところだし……
紹介した方がいい、と思う……","W-Well... the book cafe...... is really new... so......
Tenka thinks that...... we should introduce it......"
4001004020330,甜花,"あと、甜花は……なーちゃんと一緒に
ゆっくり本を読むの、良い……かも","And then... after that... Tenka and Naa-chan......
can read a book... together......"
4001004020340,甘奈,甜花ちゃん……,Tenka-chan...
4001004020350,甘奈,……えへ、確かに、ブックカフェも素敵だよね☆,"...Ehe, maybe a book cafe wouldn't be so bad after
all☆"
4001004020360,甘奈,"でも、本当に地元っていうか……
あんまり知られてないとこに注目するの、良いかも～って","But if we're talking about somewhere really local...
It'd be kinda nice if more people got to know about
this hole-in-the wall arcade~"
4001004020370,甜花,う、うん……だけど……,Y-Yeah...... But......
4001004020380,甜花,本を読むとこも……知りたい人、いる気がする……,"There's a lot of people... that may be interested......
in somewhere where they can read......"
4001004020381,甘奈＆甜花,う～ん……,Hmmm......
4001004020390,千雪,"……ふふ
こういう時も声が揃っちゃうのね","...Fufu. And somehow you two feel the same way at
the same time."
4001004020400,千雪,"ね、それじゃ、
……どっちも行ってみない？","Alright then, so... what if we went to both?"
4001004020410,甜花,"え……どっちも……？
でも……おすすめの場所の記事、１個しかない……","Huh...... Both......? But...... we can only... write about one
place......"
4001004020420,千雪,"うん。でも、実際に行ってみて、
それから決めることもできるんじゃないかしら","Yep. But, what if we went to both of them, and then
we decided what to write about after?"
4001004020430,千雪,──どうですか？　プロデューサーさん？,"──Would that be alright, Producer-san?"
0000000000000,プロデューサー,"なるほど、下見ってことだな
そうだな……時間的にも余裕があるから、大丈夫じゃないか","I get you, you'd be scoping them out. That's a good
point... you have enough time, so why not."
4001004020440,甘奈,"そっか～……千雪さんすご～い！
そういうこともできるよね！","I get you now～... You're so amazing, Chiyuki-san!
You're good at this!"
4001004020450,甘奈,"えへ！　それなら、
千雪さんの行きたいところも教えてもらわなきゃ！","Ehe! In that case, you've gotta tell us your place too!"
