id,name,text,trans
0000000000000,プロデューサー,……戻れてないじゃないか～～～～！,...I didn't retuuuuurn!
4001006050010,真乃,ひゃっ……！,Hya!
0000000000000,プロデューサー,あっ、すまん……！,"Ah, sorry!"
4001006050020,真乃,"戻れてない……？
あの、どうしたんですか……？","You didn't return?
What do you mean?"
4001006050030,真乃,血を頂いても、いいですか……？,"Can I drink your blood, please?"
0000000000000,プロデューサー,"ま、真乃……！？　ちょっと落ち着こう……！
その……真乃も、吸血鬼なのか……？","M-Mano!? Wait, let's not do anything hasty!
Did you become a vampire as well!?"
4001006050040,真乃,美味しそうなにおい……,It smells so delicious...
4001006050050,真乃,いただきまー……,I think I'll have some...
0000000000000,プロデューサー,わっ、まっ、待ってくれ！,Wah- Wai- Wait!!
4001006050060,真乃,あっ……,Ah...
4001006050070,真乃,"あ、す、すみませんっ……
お怪我はないですか……！？","Oh! I'm so sorry!
Did I hurt you!?"
0000000000000,プロデューサー,"あ、ああ、ありがとう。どこもなんともないよ
それより──","Ah... ahhh...
Thank you, I'm completely fine. But that aside..."
4001006050080,真乃,ごめんなさいっ……,I'm so sorry...
4001006050090,真乃,どうしよう、私、お腹が減って──……,I just don't know what to do. I feel so hungry...
0000000000000,プロデューサー,"ま、真乃？
大丈夫だから落ち着いて──","M-Mano?
Just... Don't panic and we'll figure something out."
4001006050100,真乃,"こんなつもりじゃ……
また、噛もうとしちゃったら……","But, I don't know
if I can hold myself back..."
4001006050110,真乃,すみませんっ……,I'm sorry!
0000000000000,プロデューサー,"ま、待ってくれ真乃！
俺なら平気だから、心配しなくていい！","Mano! Wait!
I'm fine! Don't worry about me!"
0000000000000,プロデューサー,"──ほら！　ここにクッキーもある！
よければこれを食べてくれ","Look, here are some cookies!
Why don't you eat these?"
4001006050120,真乃,え……？,Huh...?
0000000000000,プロデューサー,"美味しいお菓子だ
甘いものが嫌いじゃなかったら──","They're sweet and tasty!
You like sweet things, don't you?"
4001006050130,真乃,"その……クッキー、という、お菓子……
頂いても、いいんですか……？","These ""cookies"" are good to eat?
Can I have some...?"
0000000000000,プロデューサー,ああ。どうぞ,Please do.
4001006050140,真乃,"ありがとうございます……！
いただきますっ","Thank you!
I'll have some."
4001006050150,真乃,んっ……んむ、美味しいです……！,"Mmmm, they're good!"
0000000000000,プロデューサー,"そうか、良かった
まだあるから、もっと食べるといい","That's a relief!
We have plenty of cookies, so eat as much as you like."
4001006050160,真乃,"はい……
ありがとうございます","I will!
Thank you!"
4001006050170,真乃,"はぁっ……
ごちそうさまでした","Ah...
those were good."
4001006050180,真乃,とても……助かりました,Thank goodness we had them.
0000000000000,プロデューサー,"いいんだ、お腹が空いてちゃつらいもんな
……まだあるけど、もういいのか？","An empty stomach is a scary thing indeed... There are some more, if you're still feeling peckish."
4001006050190,真乃,はい、あの……でも……,Actually... I was wondering...
4001006050200,真乃,"残りを……頂くことって、できますか……？
お友達にも、分けたくて……","Would it be okay if I took the rest?
I'd like to share them among my friends."
0000000000000,プロデューサー,ああ、もちろん。真乃の好きにしていいよ,"Oh, of course. Take them if you like."
0000000000000,プロデューサー,少しは元気になれたか？,Are you feeling a bit better now?
4001006050210,真乃,"はいっ
おかげさまで……","Yes!
Thank you very much!"
4001006050220,真乃,"あの……
先ほどは、本当にすみませんでした……","Once again,
I deeply apologize for what happened earlier..."
4001006050230,真乃,私……我慢ができなくて……,I just couldn't help myself...
0000000000000,プロデューサー,"そんなに謝らないでくれ
俺は何もされてないし、今だってピンピンしてる","You don't need to apologize.
But I'm glad that my skin's still in one piece."
0000000000000,プロデューサー,気にすることなんてひとつもないよ,"So, don’t worry about it too much."
4001006050240,真乃,"すみません……
ありがとうございます","I'm sorry...
Thank you for your understanding."
0000000000000,プロデューサー,……真乃は、吸血鬼なのか？,Mano... I am right in saying you're a vampire?
4001006050250,真乃,"はいっ
夜の支配者、ヴァンパイアです！","Correct!
I'm a vampire, the ruler of the night!"
0000000000000,プロデューサー,（吸血鬼共通の挨拶なのか……？）,"(Do all vampires say that, I wonder...)"
4001006050260,真乃,"あ、あの、もしかして
どこかでお会いしたことがあるんでしょうか……？","Um... Wait...
Have I met you before?"
4001006050270,真乃,すみません、私、覚えていなくて……,I'm sorry... My memory's a bit hazy...
0000000000000,プロデューサー,ああいや、違うんだ,"Ahh, no... I'm sure we haven't met before."
4001006050280,真乃,でも、名前……,Then how do you know my name...?
0000000000000,プロデューサー,"ああ、そっか。そうだよな、変に思うよな
ごめん。えーと……","Ah! Well, about that...
Funny you should ask! Uhm, you see..."
0000000000000,プロデューサー,"信じられないかもしれないんだけど……
俺は、別の世界の真乃を知っているんだよ","This probably sounds crazy to you, but as a matter of fact, know a Mano from another world."
4001006050290,真乃,！,Oh!
4001006050300,真乃,別の世界……！,From another world?
0000000000000,プロデューサー,"それで、つい、向こうの真乃と同じように……
ごめん、気を悪くしてたら──","As a result, I thought you were her...
I'm sorry if I offended you..."
4001006050310,真乃,──あなたなら,Then...
4001006050320,真乃,あなたなら、灯織ちゃんを助けられるかもしれません……！,"In that case, you may be able to help Hiori!"
0000000000000,プロデューサー,え、灯織に何か──,Huh? Did something happen to Hiori?
4001006050330,真乃,"お願いです……！
力を貸していただけませんか……？","Please!
You must help her!"
4001006050340,真乃,どうか、私のお友達を救ってください……！,Please save my friend!
0000000000000,プロデューサー,"ま、真乃？
頼むから説明を──","M-Mano,
I'll help but you've got to explain what's──"
4001006050350,真乃,──こっちです……！,This way!
info,game_event_communications/400100605.json,
译者,,
