id,name,text,trans
0000000000000,カメラマン,"──はーい、OKです
いただきましたー","──Alright, looks good! That's all I need─"
0000000000000,スタッフ,"大崎さんの撮影、以上となります！
お疲れさまでしたー","Okay, the photoshoot for Osaki-san is now over!
Good work today, everyone─"
4001088040010,甜花,お疲れ様、でしたー……！,Good work... to you too─......!
0000000000000,プロデューサー,"お疲れ、甜花
今日も無事に終わってよかったな","Good work, Tenka. Looks like things went well, as
usual."
4001088040020,甜花,うん……,Yeah......
0000000000000,プロデューサー,"家まで送っていくな
もし寄りたいところあるなら送っていくぞ","I'll take you home. Let me know if you'd like to stop
by somewhere first."
4001088040030,甜花,お菓子……買いに行きたい……,Tenka wants to... buy some snacks......
0000000000000,プロデューサー,"了解だ
じゃあ、そろそろ出るか？","You got it. Alright then, shall we get going?"
4001088040040,甜花,"うん……
でも、その前に……聞いてもいい……？","Sure...... But... before that...... 
Can Tenka... ask you something......?"
0000000000000,プロデューサー,"？
ああ、もちろん","Sure...... But... before that...... Can Tenka... ask you
something......?"
4001088040050,甜花,"プロデューサーさん……
……えと……","Producer-san......
......Umm......"
4001088040060,甜花,"いつか、終わらせよっかな……とか……
考えたこと、ある……？","Have you ever thought... about... if you might put
an end... to it all......?"
0000000000000,プロデューサー,終わらせる？　何をだ？,Put an end? To what?
4001088040070,甜花,アルストロメリア……,Alstroemeria......
0000000000000,プロデューサー,"えっ……！
なんで急に──……そんなこと考えたこともない！","What...! Why would you ask that so suddenly──
...I've never thought that at all!"
4001088040080,甜花,そっか……,Got it......
0000000000000,プロデューサー,"甜花たちが頑張ってくれる限り、
アルストロメリアは、ずっと……ずっと続いていく","Alstroemeria will continue as long as you all continue
giving your best effort... forever and ever."
4001088040090,甜花,うん……,Yeah......
0000000000000,プロデューサー,あ……すまん,Oh... Sorry.
0000000000000,プロデューサー,"ちょっとおっきな声出しちゃったな……
でも、どうしてそんなこと思ったんだ？","I think I accidentally yelled at you a little... But, why
would you think of that?"
4001088040100,甜花,"えと……
……この前、座談会……した時……","Um...... Well recently... when we... did that round-table
discussion......"
4001088040110,甜花,"『もしも話』……したから……
それから……ちょっと、考えてた……","We did ""What-if scenarios""... so...... We just kind of...
thought about stuff......"
0000000000000,プロデューサー,"いつか……
アルストロメリアが終わるかもしれないって？",Like... if Alstroemeria disbands some day?
