id,name,text,trans
4001062080010,果穂,──だから、ごめんなさい……！,"──that's why, I'm so sorry...!"
4001062080020,果穂,"みなさんにたくさんわがまま言っちゃって、
おまんじゅう、いやな言い方しちゃって……！","I've been so selfish to you all, and I was rude about
the manju...!"
4001062080030,果穂,心配もかけちゃいました……！,I've let eveyone worry about me...!
4001062080040,果穂,ごめんなさい……っ,I'm sorry...
4001062080050,智代子,私も、黙って外行っちゃってごめんなさい！,"I'm sorry for going out without telling anyone, too!"
4001062080051,樹里＆凛世＆夏葉,……,......
4001062080060,凛世,"どうぞ……
顔をお上げください……","Please...
raise your head..."
4001062080070,樹里,"そうそう
チョコはそもそも、タイミングが悪かっただけだし……","Yeah, yeah.
It's all just bad timing to begin with, Choco..."
4001062080080,夏葉,"ええ
それに果穂だって、気にしなくていいのよ","Right.
And Kaho, you don't have to worry about it."
4001062080090,夏葉,"いえ──
気にするポイントはないのよ、と言った方が正しいかしら","Or rather──
It'd be more correct to say that there is no point in
worrying about it."
4001062080100,果穂,……,......
4001062080110,夏葉,ベッドのこと,About the bed.
4001062080120,夏葉,"果穂にとってはわがままだったかもしれないけど
私にとっては可愛いお願いだったわ","It may have been selfish for Kaho,
but to me, it was a cute request."
4001062080130,夏葉,だからなんにも困っていないの,"So, I wasn't bothered at all."
4001062080140,樹里,娯楽室だってそうだぞ,The same goes for the recreation room.
4001062080150,樹里,果穂に夜も遊びたいって言ってもらえて嬉しかった,"I was happy that Kaho wanted to hang out with us
for the night."
4001062080160,凛世,探検のことも……,"The exploring, also..."
4001062080170,凛世,"果穂さんは……
『こうしたい』とおっしゃっただけ……","Kaho-san merely expressed...
""I want to do this""..."
4001062080180,凛世,"悪いことなど……
ございません……","There is...
nothing wrong with it..."
4001062080190,果穂,みなさん……っ,Everyone...
4001062080200,樹里,"おまんじゅうも、
悪かったのはタイミングだよ、タイミング","The manju too.
The only bad thing was the timing."
4001062080210,夏葉,"心配をかけたというのも、
私たちが好きでやっていることだものね","Even the fact that we got worried,
was just something we like to do."
4001062080220,凛世,はい……,Yes...
4001062080230,夏葉,"……ね？
果穂が、私たちに申し訳ないって思ってくれたことは","...Alright?
Everything you've been feeling guilty for,"
4001062080240,夏葉,全部、私たちは気にしていないことなの,doesn't bother us in the slightest.
4001062080250,夏葉,"だから果穂も気に病まないでくれると嬉しいわ
……果穂が悲しそうにしているのが一番悲しいから","Therefore, we hope you no longer have to feel that
way... Because the saddest thing for us is to see you
sad."
4001062080251,樹里＆凛世,……,......
4001062080260,凛世,"果穂さんは……
最初から……ずっと……","Kaho-san...
From the very start..."
4001062080270,凛世,"凛世たちを……
思ってくださっていました……","You have always been...
thinking of us..."
4001062080280,凛世,"そのお心遣いを……
咎めることなど……","We do not blame you...
for your thoughtfulness..."
4001062080290,樹里,"うん
そういうこと！","Yeah.
That's exactly it!"
4001062080300,果穂,──ありがとうございます……！,──Thank you...!
4001062080310,果穂,（……ちょこ先輩と、おんなじこと……）,(...It's the same as what Choco-senpai has said...)
4001062080320,果穂,……,......
4001062080330,智代子,……,......
4001062080340,智代子,"……ではっ
一件落着を祝して、おまんじゅうでも食べますか？","...Alright.
Shall we have manju to celebrate this closure?"
4001062080350,樹里,そうだな,True that.
4001062080360,樹里,"誰が２個食べる？
じゃんけんするか？","Who wanna have two?
Shall we play rock-paper-scissors?"
4001062080370,智代子,はいはいっ、いいこと思いついた！,"Oh, I have a good idea!"
4001062080380,智代子,"プロデューサーさんも入れてまずひとり１個食べる、
これで６個でしょ？","Producer-san can have one.
That means we're out of six manjus, right?"
4001062080390,智代子,"で、残った２個はどっちも３等分！
ひとり１個とちょっと食べる、でどう？","Then the two left-overs are both divided into thirds!
That way everyone can have an extra piece!"
4001062080400,智代子,"いつもは２個目を得るチャンスを平等にしてるから、
今回は量を平等に！","We've always let one person have two,
but this time everyone is equal!"
4001062080410,夏葉,３等分の係が責任重大ね……！,"The person in charge of cutting has a big responsibility, then...!"
4001062080420,凛世,"切るのも……
平等に……","Let us also...
share that role..."
4001062080430,樹里,"あー、ひとり一回切る感じか
プロデューサー呼んでこないとだな……！","Ah, so it's like one cut per person.
We better call Producer...!"
4001062080440,智代子,──果穂、どう思う？,"──Kaho, what do you think?"
4001062080450,果穂,……！,......!
4001062080460,果穂,はいっ、賛成です──────！,"Yes, I agree──────!"
0000000000000,芸人（ツッコミ）,"ロケ２日目の最初のスポットは、こちらの道の駅！
ミッションは『おもしろ道の駅を考えろ』ですが──","The first spot on the second day of shooting is this
roadside station! The mission is to ""Think of an
interesting roadside station""──"
0000000000000,芸人（ボケ）,しれっとしてますけど大喜利の要求ですね,Not to be pushy but the people demand a grand finale.
4001062080470,樹里,うわー、できるかな……,"Uh-oh, not sure if we can..."
0000000000000,芸人（ツッコミ）,"我々の独断でジャッジしますが、早くクリアした順に
名物のソフトクリームの味が決められますよ","We'll be judging at our own discretion, but the first
person to clear the mission will get a taste of the
famous soft-serve ice cream."
4001062080480,夏葉,負けられないわね……！,"I can't lose, then...!"
4001062080490,凛世,はい……,Yes...
4001062080500,果穂,……！,......!
0000000000000,プロデューサー,──……そうか、それを気にしてたのか……,"──...I see, so that's what was bothering you..."
0000000000000,プロデューサー,"ごめんな
もっと早く話を聞けたらよかった","Sorry.
I wish we could have talked sooner."
4001062080510,果穂,い、いえっ,I-It's okay.
4001062080520,果穂,プロデューサーさん、あたし……！,"Producer-san, I...!"
4001062080530,果穂,"『放クラは全力が普通なんです』って、
番組を見てくれてる人に伝えたいんです","I want to tell the people who are watching the show
that ""Full effort is the norm for Hokura""."
4001062080540,果穂,あたしにできること、ありますか……！,What can I do to make it happen...?
0000000000000,プロデューサー,──そういうことなら、ひとつ作戦がある,"──If that's the case, I've got a plan."
4001062080550,果穂,！,!
0000000000000,プロデューサー,勝負が始まる前にさ、言ってみるんだ,"Before the game begins, you can try saying this."
select,,『──────』,"""──────"""
4001062080560,智代子,……果穂？,...Kaho?
4001062080570,果穂,"あたし、みなさんに……！
言いたいことがあります……！",I have something....! I want to say to everyone...!
4001062080580,果穂,────『手加減ぬきで！　お願いします！』,"──── ""Don't go easy on me! Please!"""
4001062080581,一同,！,!
0000000000000,芸人（ツッコミ）,"おおっ
果穂ちゃん、勇ましいですね……！","Oooh.
Kaho-chan is so brave...!"
4001062080590,果穂,はいっ,Yes.
4001062080600,果穂,みなさんと、全力で！　戦いたいです！,I want to fight all of you! With all my strength!
4001062080610,果穂,"──全力は、いつもですけどっ
昨日樹里ちゃんもやってた『センセイ』です！","── We always give it our all, but...
This is what Juri-chan pledged yesterday!"
4001062080611,一同,──！,──!
0000000000000,ディレクター,ふふっ、野心家かぁ,Haha. So ambitous.
0000000000000,ディレクター,"じゃあさ、チョコちゃん
ボクからひとつお題","Well then, Choco-chan.
I have a question for you."
0000000000000,ディレクター,もし、何かの番組のレギュラーの席がひとつ空いてて,"If we were to fill a regular spot on a TV show,"
0000000000000,ディレクター,"放クラのみんなのうちの誰かから決めてって言われたら、
チョコちゃんはどうする？",What would you do if we want one member of Hokura to participate?
4001062080620,智代子,──,──
4001062080630,智代子,たとえば、果穂の『ヒーロー』みたいに,"For example, Kaho is known to be a ""hero""."
4001062080640,智代子,"あきらかに向いている人がいる番組だったら、
そのメンバーが行くべきだって言うと思います","If there is a member who is clearly suited for that
show, then that member should go."
4001062080650,智代子,"──でも、そうじゃなくて……
誰が行っても問題ない、指名されていないものだったら──","──But if that's not the case...
and it doesn't matter who goes, and we're not
nominating each other──"
4001062080660,智代子,"私は立候補しますし、
希望者が多ければ勝負になるんじゃないでしょうか……！","I would go for it.
If the others also wanted to do so, we would turn it into a match...!"
0000000000000,ディレクター,チョコちゃん、譲ってあげたりしないの？,"So, you won't let someone else have it?"
4001062080670,智代子,"しないです！
途中で譲るぐらいなら、立候補を避けます……！","No, I won't!
I'd rather not volunteer myself in the first place than to give up half-way!"
4001062080680,智代子,……──全力じゃないと、失礼ですから,"......──If I don't give it my all, that's just rude to
everyone else."
4001062080690,智代子,それが放クラで──私です！,That's how Hokura── and I roll!
0000000000000,スタッフ,──砂浜でのカットは以上です！,──That's all for the cut on the beach!
0000000000000,スタッフ,"次は海に入って撮りますので、
休憩中も、海に入っていただいて大丈夫ですよー！","We'll go into the ocean to shoot next.
Feel free to play in the water during the break!"
4001062080691,一同,はーい！,Yes!
0000000000000,プロデューサー,（……──ッ────）,（......──phew────）
0000000000000,ディレクター,いやぁ、何も見えなくなりそう,"Oh no, I can't see anything."
0000000000000,プロデューサー,え──,Eh──
0000000000000,ディレクター,"あはは！
ほら、放クラちゃんってエネルギーの塊だから","Ahaha!
I mean, what a bundle of energy, Hokura."
0000000000000,ディレクター,"キラキラが強すぎて目が眩む
──……けど、よそ見なんてさせてもらえない","They're so dazzling, it's blinding.
──...and yet, I can't look away."
0000000000000,ディレクター,夢中になるしかないんだな、ってさ,"I'll just get lost in it, y'know."
0000000000000,プロデューサー,────お気持ち、わかります,────I get what you mean.
0000000000000,プロデューサー,どうしたって、目を奪われてしまうんですよね……──！,"No matter what I do, I can't take my eyes off them...──!"
0000000000000,プロデューサー,"輝く覚悟を決めている──
彼女たちに","These girls,
are always ready to shine──"
info,game_event_communications/400106208.json,
Translator,Ruru,
