id,name,text,trans
4001022030010,甜花,"じゅ、準備は……いいですか……！
本……落ちない……？","A-Are... you ready... !
The books... are they falling off... ?"
4001022030020,甘奈,"うぅ……！
頭の上に置いて歩くとか……１冊で限界だよ～っ","Uuuh... !
Walking with books on my head... 
I can barely manage one～!"
4001022030030,甜花,"大丈夫……！
なーちゃんなら……３冊、いける……！","It's alright... !
Naa-chan... you can definitely, do three... !"
4001022030040,甜花,"それでは、向こうの壁まで……
スタート……っ！","Well then, walk to the wall over there... !
Start... !"
4001022030050,甘奈,う、うわぁっ、うんっ……！,"Uh, uwaah, okay... !"
4001022030060,甜花,"す、すごい……！
なーちゃん、いい感じ……！","G-Great... !
Naa-chan, you're doing good... !"
4001022030070,甘奈,う、うん……っ,"Y-Yeah... "
4001022030080,甜花,いち、に、いち、に……,"One, two, one, two... "
4001022030090,甘奈,"力を抜かなきゃ……
屈んで、ゴリラになっちゃうんだよね……！","Gotta relax... 
I'm all hunched up like a gorilla... !"
4001022030100,甜花,"にへへ……！
なーちゃん、ゴリラさん……","Nihehe... !
Naa-chan, is a gorilla... "
4001022030110,甜花,それも……可愛いよ……！,That's... cute too... !
4001022030120,甘奈,"ええっ！？
──うわぁっ……","Ehh!?
──Waaah... !"
4001022030130,甜花,"なーちゃん……！
だ、大丈夫……！？","Naa-chan... !
Y-You okay... !?"
4001022030140,甘奈,"──あははっ……
もう、褒めちゃダメだって！　反対ごっこ！","──Ahahah... 
Aww, don't praise me like that! 
Remember, the Opposite Game!"
4001022030141,甘奈＆甜花,えへへっ……,"Ehehe... "
4001022030150,千雪,──わぁ、もしかしてウォーキングやってたの？,"──Wow, are you practicing your catwalk right now?"
4001022030160,甘奈,"あっ、千雪さん！
うんっ","Ah, Chiyuki-san!
Yeah."
4001022030170,甘奈,もう帰っちゃうー？,Are you going back for the day?
4001022030180,千雪,"ふふっ、うん
今日は美容室の予約入れちゃってて","Fufu, yeah.
I've got an appointment at the beauty parlor today."
4001022030190,千雪,"でも……時間まで、何かお手伝いするね
ビデオ撮ろっか？","But... I've still got some time, so I'd like to help.
Should I take a video?"
4001022030200,甘奈,"あっ、ううん！　それは美容室優先にしなきゃ！
ウォーキングは、専門の先生に習うから大丈夫☆","Ah, no worries! Your beauty appointment comes first!
I'll have a special instructor for walking lessons so it's A-OK☆"
4001022030210,千雪,あ……そっかぁ──,Ah... I see──
4001022030220,甘奈,"えっとー
『アプリコット』……みたいな名前で──","Umm──
I think it was called...""Apricot""──"
4001022030230,千雪,……,"...... "
4001022030240,甘奈,"──でもね、オーディションまでに
できるだけレッスン入れなきゃなんだけど","──But you know, I really need to have as many
lessons as I can before the audition, but... "
4001022030250,甘奈,"先生の予約がなかなか取れないんだ……
明後日は取れそうなんだけど、場所がなくて","The instructor's schedule is already packed too... 
The day after tomorrow could work, but we don't have a venue... "
4001022030260,千雪,明後日……,"The day after tomorrow...... "
4001022030270,千雪,──あ、私がここ予約しちゃってるから……！,"──Aah, I've booked this lesson studio for that day... !"
4001022030280,甘奈,"あっ、ううん！
そういうことじゃないんだ……！","Ah, no!
Don't worry about that... !"
4001022030290,甘奈,"先に予約してたんだもん！
明後日は千雪さんが頑張る時間だよっ☆","You're the one who booked it first!
That's your turn to give it your all, Chiyuki-san☆"
4001022030300,千雪,で、でも……,"B-But... "
0000000000000,プロデューサー,"『自分のことも大事に考えてくれ
レッスンも今週はみっちり入ってるからな』","""Don't forget to think of yourself too.
Your schedule this week is packed with lessons."""
4001022030310,甘奈,"『新しい雑誌だって言ってたから、
どんな感じかはまだわからないんだけど……』","""They said it's a new magazine,
so I don't know what it's going to be like yet, but... """
4001022030320,千雪,…………っ,"...... "
4001022030330,千雪,"……
ごめんね……","... 
I'm so sorry... "
4001022030340,甘奈,"ううん！　甘奈こそヘンなこと言っちゃった……
プロデューサーさんにも相談するから大丈夫っ！","No, don't be! I'm sorry for saying weird stuff too... 
I'll discuss it with Producer-san, so I'll be alright!"
4001022030350,千雪,う、うん……,"Y-Yeah... "
4001022030360,甜花,……,"...... "
4001022030370,千雪,──あっ、そうだ、これ……！,"──Ah, right, this is for you... !"
4001022030380,千雪,"あのね、
よかったらお勉強用にって思って────","Umm, I thought maybe,
you could use it as reference, if you'd like──"
4001022030390,甘奈,"……わぁ！
これ、『アプリコット』……！？","...Wow!
This is ""Apricot""... !?"
4001022030400,甘奈,千雪さん……持ってたの……！,Chiyuki-san... you had them... !?
4001022030410,千雪,"……あっ……ううん……！
たまたまなの……","... Ah... No... !
It's just, a coincidence... "
4001022030420,千雪,昨日、古本屋さんで見つけて……,"I saw them at a used bookstore, yesterday... "
4001022030430,甘奈,かわいー……！,They're all so cute... !
4001022030440,千雪,"うん……
すっごく……","Yeah... 
It really is... "
4001022030450,千雪,すっごく、素敵な雑誌なの……,"It really is, a fantastic magazine... "
4001022030460,甜花,……千雪さん,... Chiyuki-san.
4001022030470,甘奈,──ありがとう、千雪さんっ,"──Thank you, Chiyuki-san!"
4001022030480,甘奈,甘奈、めーっちゃ勉強するから……！,I'm going to study suuuper hard... !
4001022030490,甜花,お腹……空いたね……,"That... made us hungry, huh... ?"
4001022030500,甘奈,"うん、張りきりすぎちゃった……！
甘奈もぺっこぺこ！","Yeah, we got a little carried away there... !
I'm totally starving too!"
4001022030510,甘奈,夕飯、何かなぁ？,I wonder what's for dinner?
4001022030520,甜花,甜花、シチューがいい……！,"Tenka, wants stew... !"
4001022030530,甘奈,"あーっ、甘奈もおんなじこと思ってたの！
にんじん、お星さまにしたいな☆","Ahh, Amana was thinking the same thing!
With the carrot slices cut like stars☆"
4001022030540,甜花,"わ……それ……
『アプリコット』に、載ってた……！","Wah... That's... 
in ""Apricot"", right... !"
4001022030550,甘奈,"うんっ！　『退屈なお星さまのためのシチュー』！
あとは、ケチャップライスと……","Yeah! ""A Stew for the Bored Star""!
And, ketchup rice, and... "
4001022030560,甜花,『歌い疲れたベーコンたちのスープ』も……！,"""Soup of Bacon that Tires of Singing"" too... !"
4001022030570,甘奈,"えへへっ
ママにお願いしてみよっか！","Ehehe!
Let's go ask Mama!"
4001022030580,甜花,"うんっ……！
メッセ、する……！","Yeah... !
I'll send, a message... !"
4001022030590,甜花,……,"...... "
4001022030600,甘奈,"……
……千雪さんは──","...... 
......Does Chiyuki-san... "
4001022030610,甘奈,"……あのね、千雪さんって────
もしかして『アプリコット』、読んでたんじゃないかなって","...Hey, about Chiyuki-san... 
Do you think, maybe she read ""Apricot"" a lot?"
4001022030620,甜花,"……なーちゃん
うん……","...Naa-chan.
Yeah... "
4001022030630,甜花,"……
甜花も、思った……","......
Tenka, thought so too... "
4001022030640,甜花,"とっても……
好きだったり、するのかもって……","Maybe...
She really, really liked it... "
4001022030650,甘奈,"……
そう……だよね……","...... 
Yeah... seems like it... "
4001022030660,甜花,わ、わかんないけど…………,"W-We, don't really know, but... "
4001022030670,甘奈,"……うん
でも、もしそうだったら…………","...Yes.
But, if that was true... "
4001022030680,甘奈,甘奈……──,I... ──
4001022030690,千雪,"──……
『３人で、アルストロメリア』…………","──... 
""The 3 of us, are Alstromeria""... "
4001022030700,千雪,"……
ごめんね……","... 
I'm sorry... "
4001022030710,千雪,…………,"...... "
4001022030720,千雪,"あーっ……
ダメダメダメ…………","Aah... !
No no no no... "
4001022030730,千雪,"…………
………………","...... 
...... "
4001022030740,千雪,"私……
ただの自主練なのに…………","But I'm... 
just using it for my own practice... "
4001022030750,甘奈,"先に予約してたんだもん！
明後日は千雪さんが頑張る時間だよっ☆","You're the one who booked it first!
That's your turn to give it your all, Chiyuki-san☆"
4001022030760,千雪,"……
…………","...... 
...... "
4001022030770,千雪,"なんでだろ……
私……","Why... 
... am I like this... "
4001022030780,千雪,"…………
なんで……『アプリコット』なんだろう…………","...... 
Why... does it have to be ""Apricot""... "
4001022030790,甜花,"──ん、しょ……
靴、揃えて……","──Hup, ho... 
Shoes, neat and tidy... "
4001022030800,甜花,"来客スリッパじゃ、ないやつ……
あった……","The slippers, that aren't for guests... 
Found them... !"
4001022030810,甜花,荷物、置いて……現場……,"Drop off, things... before heading, to location... "
4001022030820,甜花,おつかれさ──,Good after──
0000000000000,プロデューサー,"すみません、もう一度
お打合せの時間を頂戴できませんか……！","Pardon me for asking, but may I please
have another appointment to discuss this... !?"
4001022030830,甜花,"……っ
電話中……！　静かに……！","... !
He's on the phone... ! Gotta keep quiet... !"
0000000000000,プロデューサー,……いや、だって……！,"... Wait, but... !"
0000000000000,プロデューサー,"グランプリが
大崎に内定してるっていうのは──","That thing about Osaki
being selected as the winner──"
4001022030840,甜花,……えっ,...Ehh?
0000000000000,プロデューサー,"その、大変光栄なことではあるんですが、
ウチは聞いておらずでして──────","I mean, I'm grateful that you think of her so highly,
but I wasn't informed of any of this──"
4001022030850,甜花,…………,"...... "
info,game_event_communications/400102203.json,
Translator,Rinka,
