id,name,text,trans
4001021050010,樹里,…………貼り紙、してあるな,"... The notice is up, huh?"
4001021050020,智代子,うん……,"Yeah... "
4001021050030,樹里,"──『節分行事をもって閉店します
これまでのご愛顧、誠にありがとうございました』","""Our store will be closing after the Setsubun event.
We sincerely thank you for your many years of patronage."""
4001021050040,凛世,…………,"...... "
4001021050050,智代子,"……お店
本当に、なくなっちゃうんだね","... This store
really is going away, huh?"
4001021050060,樹里,ああ……,"Yeah... "
4001021050061,智代子＆樹里＆凛世,…………,"...... "
0000000000000,会長の妻,樹里ちゃん、凛世ちゃん！,"Juri-chan, Rinze-chan!"
4001021050070,樹里,あ……,"Ah... "
0000000000000,会長の妻,"……それに
智代子ちゃん、だったかしら","... Oh, and Chiyoko-chan,
was it now?"
4001021050080,智代子,はっ、はい！,Y-Yes!
4001021050090,樹里,おばちゃん……！,Granny... !
4001021050100,智代子,……凛世ちゃん、こちらは……？,"... Rinze-chan, who's this again... ?"
4001021050110,凛世,"商店街の会長さまの……
奥さまです……","The Chairman's... 
wife... "
0000000000000,会長の妻,"ふふ、お店の前にいるのが見えたから
出てきちゃったわ","Fufu, I saw you bunch outside the store,
so I popped out to say hello."
4001021050120,樹里,"……そっか……
おばちゃん、店、本当に……","... I see... 
Granny, is the store really... ?"
0000000000000,会長の妻,"そうなのよ、閉じることにしたの
でも、節分の日まではまだ少しあるから","Yes, we've decided to close it down.
But there's still some time before Setsubun, so we'll be around."
4001021050130,凛世,はい……,"Yes... "
4001021050140,智代子,"──じゃあ、来られる時にいっぱいお邪魔しなきゃだね！
樹里ちゃん、凛世ちゃん！","──We've got to stop by as much as possible while we still can!
Right, Juri-chan, Rinze-chan!"
4001021050150,樹里,うん……,"Yeah... "
0000000000000,会長の妻,"うちの人、樹里ちゃんたちに閉店すること
話していなかったみたいね","I see my mister couldn't bring himself
to tell you that we were closing down."
4001021050160,樹里,"え、あ……おっちゃんか……
うん、……聞いてなかった","Eh, ah... Gramps, huh... 
Yeah... He didn't say anything."
0000000000000,会長の妻,"じゃあ、びっくりさせちゃったでしょう？
ごめんなさいね、ちゃんと言うって言ってたんだけど","We gave you quite a shock, didn't we?
I'm sorry, I did ask him to tell you properly, but... "
4001021050170,樹里,"や、きっと
アタシたちが寂しがるだろうからって──……","Nah, I'm sure he thought
we'd just get sad if we knew─... "
0000000000000,会長の妻,違うのよ、そうじゃないの,"No, no, that's not why."
