id,name,text,trans
4901005030010,樹里,"みんなアイス開けたか？
……そんじゃ、果穂！","You got everyone ice cream?
...wow, Kaho!"
4901005030020,果穂,"はいっ！
──みなさん、今日も特訓お疲れ様でした！","Yeahh!
--everyone, thanks for your hard work in today's special training!"
4901005030021,一同,お疲れ様でしたー！！！！,Thanks for your hard work-!!!!
4901005030030,智代子,"──みんな急いで！
今日もアイスの溶けるスピードが速い！","--hurry everyone!
The ice cream's melting at a fast speed today!"
4901005030040,夏葉,仕方ないわ、夏だもの,"It can't be helped, it's summer after all."
4901005030050,凛世,ふふ……,Fufu...
4901005030060,凛世,甘い……,Sweet...
4901005030070,樹里,"……こうやって、みんなでアイス食べて帰んのも
あとちょっとだな","...just like that, everyone will eat ice cream and go home
It's almost here isn't it."
4901005030080,智代子,"そうだね
サマーパーティーももうすぐだもん……！","That's true huh.
It's almost the Summer Party...!"
4901005030090,樹里,だよな……あっという間だった,It is... in the blink of an eye.
4901005030100,智代子,……ちょっとさみしいね？,...it's a little lonesome isn't it?
4901005030110,夏葉,ええ、そうね…………,"Ehh, that's true..."
4901005030120,凛世,…………,...
4901005030130,果穂,──あのっ！　みなさん！,--Heyy! Everyone!
4901005030140,凛世,…………？,...?
4901005030150,果穂,"今日はもうちょっとだけ……
公園で、お話ししていきませんか？","Just a little bit more today...
Why don't we discuss in the park?"
4901005030160,夏葉,果穂……,Kaho...
4901005030170,果穂,"えっと……
サマーパーティーの、作戦会議です……！","Uhm...
The Summer Party strategy meeting...!"
4901005030171,一同,…………！,...!
4901005030172,一同,──うん、もちろん！,"Yeah, of course!"
info,special_communications/490100503.json,
译者,,
