id,name,text,trans
special_communications4901039074,ルカ,────────……,────────......
special_communications4901039077,ルカ,…………なんもない,...There's nothing.
special_communications49010390712,ルカ,──────────,──────────
special_communications49010390714,ルカ,……,......
special_communications49010390719,ルカ,"『部屋の隅の
オマエ』","""You there,
in the corner."""
special_communications49010390721,ルカ,"『腹へってんのか
オマエも』","""You hungry, too?"""
special_communications49010390731,ルカ,──────────,──────────
special_communications49010390733,ルカ,そんな静かにしてても,Be as quiet as you want...
special_communications49010390735,ルカ,腹すくのかよ,You're hungry either way.
special_communications49010390738,マネージャーのメモ,『ちゃんと食べてね。』,"""Make sure to eat."""
special_communications49010390742,ルカ,………………食べたよ,"...I ate it, though."
special_communications49010390744,off,ぎゅってすれば,Just hold on tight...
special_communications49010390747,ルカ,全部……,It's...
special_communications49010390750,ルカ,全部なくなったよ──────,It's all gone──────
special_communications49010390752,off,大丈夫,It'll be alright...
special_communications49010390754,ルカ,──────お腹すいたね……,──────You must be hungry...
special_communications49010390761,ルカ,──────────,──────────
special_communications49010390763,off,ぎゅってすれば,Just hold on tight...
special_communications49010390766,ルカ,……誰,...Who the?
special_communications49010390773,プロデューサー,──────ノブに掛けておけばいいんだよな……,"──────I guess I can just hang it from the
doorknob..."
info,special_communications/490103907.json,
Translator,K,
